src_lang	tgt_lang	study	session_id	src_tokens	tgt_tokens	src_segid	tgt_segid	src_token_ids	tgt_token_ids	src_posq	tgt_posq	xent	xmi	src_surp	tgt_surp	x2cont	cont2x	x_ent	x2x	x2eos	tgtseq2x	y2srcseq_ent	eos_xatt	y2cont	y2y	y_ent	Dur	FixS	FixT	TrtS	TrtT
en	zh	RUC17	P12_T3	Spielberg_shows_Beijing_red_card_over_Darfur	斯皮尔伯格_向_北京_亮_出道弗_方面_的_红卡	0	0	1+2+3+4+5+6+7+8+9	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20	0.42857142857142855	0.4375	3.162180519104004	2.7383771896362306	9.97801347212358	8.429368155343193	0.9278336763381958	0.3921082615852356	0.55989009141922	0.47517532110214233	5.795588970184326	0.13175007700920105	0.5512665510177612	7.932145595550537	5.215958595275879	0.35736367106437683	0.5693061947822571	122772.0	2.0	110.0	1837.0	49607.0
en	zh	RUC17	P12_T3	In_a_gesture_sure_to_rattle_the_Chinese_Government_,_Steven_Spielberg_pulled_out_of_the_Beijing_Olympics_to_protest_against_China_'s_backing_for_Sudan_'s_policy_in_Darfur_.	斯蒂文▪_斯皮尔伯格_退出_了_北京_奥运会_，_以_抗议_中国_对_苏丹_在_道弗_的_政策_的_支持_，_这_一_举动_使_中国_政府_感到_震惊_。	1	1	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45+46+47+48+49+50+51+52+53+54+55	0.4838709677419355	0.48214285714285715	2.80471884987571	5.775012484463779	10.849436658494016	10.486338297526041	2.5034072399139404	0.445995569229126	0.5302456617355347	0.5494369864463806	17.068553924560547	0.2948259711265564	0.5464072227478027	28.102628707885742	10.058650970458984	0.36337852478027344	0.5355178713798523	227949.0	36.0	37.0	14327.0	22789.0
en	zh	RUC17	P12_T3	His_withdrawal_comes_in_the_wake_of_fighting_flaring_up_again_in_Darfur_and_is_set_to_embarrass_China_,_which_has_sought_to_halt_the_negative_fallout_from_having_close_ties_to_the_Sudanese_government_.	斗争_在_道弗_再次_兴起_的_时候_，_他_退出_奥林匹克_，_这_一_举动_意_在_使_中国_陷入_尴尬_的_局面_并_给_中国_和_苏丹_政府_紧密_的_联系_带来_负面_影响_。	2	2	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45+46	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45+46+47+48+49+50+51+52+53+54+55+56+57+58+59+60+61+62+63+64+65+66+67+68+69	0.4864864864864865	0.4861111111111111	3.159347755321558	4.807502193727355	10.399496513500548	10.571397047776442	2.9148852825164795	0.4575563669204712	0.5351818799972534	0.5757278800010681	18.601634979248047	0.3053932189941406	0.5937179327011108	32.9824333190918	11.334859848022461	0.39215049147605896	0.5542940497398376	241412.0	12.0	6.0	3694.0	2980.0
en	zh	RUC17	P12_T3	China_,_which_has_extensive_investments_in_the_Sudanese_oil_industry_,_maintains_close_links_with_the_Government_,_which_includes_one_minister_charged_with_crimes_against_humanity_by_the_International_Criminal_Court_in_The_Hague_.	中国_在_苏丹_的_石油_产业_投资_巨大_，_与_苏丹_政府_保持_着_紧密_的_联系_，_这_其中_包括_一_位_被_在_海_格_的_国际_法庭_指控_犯_下_反_人性_罪_的_部长_。	3	3	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45+46+47+48+49+50+51+52+53+54+55+56+57+58+59+60+61+62+63	0.4864864864864865	0.48717948717948717	2.4353146023220487	3.8370838468036954	12.4416451289736	8.40768302755153	2.9295291900634766	0.4436768889427185	0.5198045969009399	0.5679032802581787	18.514827728271484	0.32004493474960327	0.5229556560516357	31.05292320251465	10.98257064819336	0.3692860007286072	0.5568979978561401	113880.0	30.0	15.0	135171.0	2840.0
en	zh	RUC17	P12_T3	Although_emphasizing_that_Khartoum_bears_the_bulk_of_the_responsibility_for_these_ongoing_atrocities_,_Spielberg_maintains_that_the_international_community_,_and_particularly_China_,_should_do_more_to_end_the_suffering_.	尽管_斯皮尔伯格_强调_了_是_卡特姆_在_负责_这些_正在_进行_的_事_，_但是_斯皮尔伯格_坚持_认为_国际_社会_，_尤其_是_中国_，_应该_做_更_多_的_事情_来_结束_这些_痛苦_。	4	4	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45+46	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45+46+47+48+49+50+51+52+53+54+55+56+57+58+59+60+61+62+63+64	0.4852941176470588	0.4861111111111111	2.6834402084350586	4.521752834320068	11.76943026455966	9.222647094726563	3.36354398727417	0.4707551598548889	0.5214477777481079	0.5785371661186218	18.02374839782715	0.3262310028076172	0.5191394090652466	31.96320152282715	11.20301628112793	0.36328810453414917	0.5471843481063843	159246.0	13.0	9.0	2924.0	3013.0
en	zh	RUC17	P02_T6	The_majority_of_hunter_-_gatherer_societies_are_nomadic_.	大多数_狩猎_性质_的_群体_都_是_游牧_性质_的_。	0	0	1+2+3+4+5+6+7+8+9+10+11+12+13+14	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21	0.45	0.45454545454545453	3.3201991489955356	6.183683849516369	11.090526580810547	11.08786349826389	1.4221324920654297	0.4146418571472168	0.5861190557479858	0.5273622274398804	7.194797039031982	0.1947658509016037	0.6105057001113892	11.550402641296387	5.280235290527344	0.37095436453819275	0.5991551876068115	123428.0	17.0	4.0	6493.0	6612.0
en	zh	RUC17	P02_T6	It_is_difficult_to_be_settled_under_such_a_subsistence_system_as_the_resources_of_one_region_can_quickly_become_exhausted_.	在_这样_的_条件_下_是_很_难_定居_下来_的_，_因为_这_一_地区_的_资源_会_很快_枯竭_。	1	1	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36	0.4772727272727273	0.4772727272727273	2.7099603017171225	7.050825119018555	10.294863455636161	12.116837074016702	2.2456583976745605	0.42861124873161316	0.5611239671707153	0.5863056182861328	10.924091339111328	0.28456610441207886	0.5808252096176147	19.817228317260742	7.287988185882568	0.3862040042877197	0.5817470550537109	95675.0	90.0	6.0	36023.0	9149.0
en	zh	RUC17	P02_T6	Hunter_-_gatherer_societies_also_tend_to_have_very_low_population_densities_as_a_result_of_their_subsistence_system_.	由于_狩猎_型_社会_的_条件_所_限制_，_其_人口_密度_往往_较_低_。	2	2	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30	0.475	0.46875	3.3420944213867188	2.844646199544271	11.065272475733902	9.768537822522616	2.1376969814300537	0.4252561032772064	0.5645543932914734	0.5722076296806335	10.557112693786621	0.2652803659439087	0.6313392519950867	18.690292358398438	6.273547649383545	0.40813153982162476	0.5897735357284546	62572.0	67.0	6.0	20247.0	9331.0
en	zh	RUC17	P02_T6	Agricultural_subsistence_systems_can_support_population_densities_60_to_100_times_greater_than_land_left_uncultivated_,_resulting_in_denser_populations_.	农业_支撑_的_社会_系统_人口_密度_是_未开垦_地区_人口_密度_的_60_到_100_倍_，_因此_导致_人口_密度_极_高_。	3	3	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45+46	0.4772727272727273	0.48	3.0024331134298574	4.318982663361923	11.182518592247597	11.226170857747396	2.481964111328125	0.4162587523460388	0.5345382690429688	0.5640401244163513	13.468753814697266	0.3339303135871887	0.5782039165496826	22.443172454833984	8.446227073669434	0.3985283374786377	0.5622837543487549	163334.0	67.0	14.0	21638.0	8532.0
en	zh	RUC17	P02_T6	Hunter_-_gatherer_societies_also_tend_to_have_non_-_hierarchical_social_structures_,_though_this_is_not_always_the_case_.	狩猎_性_社会_通常_没有_社会_阶级_，_但_也_不_完全_如此_。	4	4	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26	1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22	0.4772727272727273	0.4642857142857143	4.053654757412997	3.123379794034091	11.259424382990057	9.287927066578584	2.3478469848632812	0.42566344141960144	0.5514513254165649	0.583390474319458	10.484001159667969	0.2782093584537506	0.6047563552856445	18.83641815185547	5.386940002441406	0.3773822486400604	0.5948965549468994	41356.0	27.0	7.0	10797.0	1927.0
